,Title,Authors,id,Document Type,Source,Keywords
36,Rapid conversion of alkaline bauxite residue through co-pyrolysis with waste biomass and its revegetation potential,"Xue, Shengguo",WOS:000829122100009,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Soil formation
37,Anaerobic co-digestion of thermo-alkaline pretreated microalgae and sewage sludge: Methane potential and microbial community,"Xia, Song",WOS:000829122100011,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Microbial community
38,Fluorine-doped BiVO4 photocatalyst: Preferential cleavage of C-N bond for green degradation of glyphosate,"Huang, Di",WOS:000829122100005,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Seletive oxidation
39,The accumulation and toxicity of ZIF-8 nanoparticles in Corbicula fluminea,"Yuan, Li",WOS:000829122100008,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Ecotoxicity
40,Microbial community structure analyses and cultivable denitrifier isolation of Myriophyllum aquaticum constructed wetland under low C/N ratio,"Zhuang, Xuliang",WOS:000829122100003,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Bacillus velezensis
41,Removal efficacy and mechanism of nitrogen and phosphorus by biological aluminum-based P-inactivation agent (BA-PIA),"Zhou, Zhenming",WOS:000829122100015,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Biofilmsformedbyartificialaeration
42,Feasibility of Producing Sodium Hypochlorite for Disinfection Purposes using Desalination Brine,"Sarubbo, Leonie",WOS:000828464500019,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,reject brine
43,An Overview of Osmosis Study in Living Cells and its Implication in Forwarding Osmosis for Water Treatment Application,"Nikmatin, Siti",WOS:000828464500048,Review,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,desalination
44,Physical and Chemical Characterization of Water Containing Choline Chloride-based Solvents with Lactic Acid and Dihydric Alcohol,"Jablonsky, Jozef",WOS:000828464500005,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,acidity
45,"Exogenous Salicylic Acid Modifies Cell Wall Lignification, Total Phenolic Content, PAL-Activity in Wheat (Triticum aestivum L.) and Buckwheat (Fagopyrum esculentum Moench) Plants under Cadmium Chloride Impact","Terek, Olga",WOS:000828471200012,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,cadmium chloride
46,Phenolic Compounds in Black Grape by the Electronic and Thermochemical Studies,"Terek, Olga",WOS:000828464500050,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,water
47,Biofouling and Mitigation Methods: A Review,"Sahiner, Nurettin",WOS:000828464500027,Review,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,non-toxic coatings
48,Phosphorus Removal from Aqueous Solution by Using Calcined Waste Chicken Eggshell: Kinetic and Isotherm Model,"Yuan, Ng Shi",WOS:000828471200040,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,pseudo-second-order
49,Removal of Organic and Nitrogen Compounds from Domestic Landfill Leachate by Microalgae,"Yunardi, Yunardi",WOS:000828471200033,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,nitrogen.
50,Phytochemical Profile and Evaluation of Acute Toxicity of the Crude Extract from Acanthospermum hispidum Roots,"Lira Soares, Luiz Alberto",WOS:000828471200013,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,fingerprint analysis
51,Oral Thin-films from Design to Delivery: A Pharmaceutical Viewpoint,"Ningaiah, Srikantamurthy",WOS:000828464500009,Review,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,self-administration
52,New Nicotinic Acid-based Hydrogel: Swelling and Insulin Uptake Studies,"Chauhan, Ghanshyam S.",WOS:000828471200048,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,insulin loading
53,Elucidation of Molecular Interactions of Non-Steroidal Anti-Inflammatory Drug Diclofenac Potassium in Aqueous and Aqueous Urea Solutions: Acoustic and Viscometric Approach,"Chauhan, Ghanshyam S.",WOS:000828471200011,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,molecular interactions
54,"Organic Quasi-Liquid Schiff Bases from Biomolecules: Synthesis, Structure and Quantum Mechanical Studies","Thomas, Renjith",WOS:000828471200038,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,PASS
55,A Review on Microplastics - An Indelible Ubiquitous Pollutant,"Kizhakedathil, Moni Philip Jacob",WOS:000828471200027,Review,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,marine pollution
56,"Ecofriendly Approach for Steroids, Terpenes, and Alkaloids-based Biosurfactant","Yadav, Chandra Shekhar",WOS:000828471200025,Review,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,natural products
57,Synthesis and Characterization of Sn-Doped CeO2-Fe2O3 Nanocomposite and Application in Photocatalytic Degradation of Sudan I,"Domyati, Doaa",WOS:000828464500047,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,COD
58,Global weak solutions to the Novikov equation by viscous approximation,"Guo, Boling",WOS:000878752100001,Article,NONLINEAR ANALYSIS-REAL WORLD APPLICATIONS,Peakon
59,Adsorption behavior of imidacloprid pesticide on polar microplastics under environmental conditions: critical role of photo-aging,"Zhang, Tingting",WOS:000878684300002,Article,FRONTIERS OF ENVIRONMENTAL SCIENCE & ENGINEERING,Environmental conditions
60,Study of refractory raw materials of the Republic of Kazakhstan,"Nogaeva, K. A.",WOS:000877922300003,Article,KOMPLEKSNOE ISPOLZOVANIE MINERALNOGO SYRA,water absorption
61,"Films of biopolymers, pectin and gellan, enriched with natamycin and clove essential oils for the packaging of Corn tortilla: Protection against Staphylococcus aureus and Candida parapsilosis","Rodriguez-Hernandez, Adriana-Ines",WOS:000876718400003,Article,FOOD MICROBIOLOGY,Yeast
62,Electrocatalytic reduction of nitrate using Pd-Cu modified carbon nanotube membranes,"Xia, Xue",WOS:000874128100001,Article,FRONTIERS OF ENVIRONMENTAL SCIENCE & ENGINEERING,Electrocatalytic reduction
63,Discovery of emerging organic pollutants in the atmosphere through an omics approach,"Zhu, Tong",WOS:000874128100003,Review,FRONTIERS OF ENVIRONMENTAL SCIENCE & ENGINEERING,Omics approach
64,Stress response to nanoplastics with different charges in Brassica napus L. during seed germination and seedling growth stages,"Cui, Zhaojie",WOS:000871058400001,Article,FRONTIERS OF ENVIRONMENTAL SCIENCE & ENGINEERING,Toxicity
65,Dust pollution during shotcrete process in high-altitude tunnel based on numerical simulation,"Zeng, Fabin",WOS:000839345700004,Article,PARTICUOLOGY,Ventilation system
66,Enhanced cyanogen chloride formation after UV/PS and UV/H2O2 pre-oxidation and chlorination in natural river water,"Li, Jing",WOS:000836232900005,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,DBPs
67,The determinants of effective defluorination by the LiAl-LDHs,"Wang, Qingwei",WOS:000836232900014,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,DFT
68,"Long-term nitrogen and phosphorus removal, shifts of functional bacteria and fate of resistance genes in bioretention systems under sulfamethoxazole stress","Qin, Qingdong",WOS:000836232900001,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Zero-valent iron
69,Coating zirconium oxide-nanocomposite with humic acid for recovery of mercury and chromium in hazardous waste of chemical oxygen demand test,"Liu, Jingfu",WOS:000836232900004,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Humic acid
70,Insights into the mechanism of the deterioration of mainstream partial nitritation/anammox under low residual ammonium,"Peng, Yongzhen",WOS:000836232900003,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Comammox
71,Functional groups assisted-photoinduced electron transfer-mediated highly fluorescent metal-organic framework quantum dot composite for selective detection of mercury (II) in water,"Saikia, Lakshi",WOS:000829121800002,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Aqueous medium
72,Ni(NH3)6(2)(+) more efficient than Ni(H2O)6(2)(+) and Ni(OH)(2) for catalyzing water and phenol oxidation on illuminated Bi2MoO6 with visible light,"Xu, Yiming",WOS:000829121800004,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Nickel hexammine perchlorate
73,"Occurrence, distribution and risk assessment of antibiotics at various aquaculture stages in typical aquaculture areas surrounding the Yellow Sea","Zhao, Shan",WOS:000829121800010,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Risk assessment
74,A novel and stretchable carbon-nanotube/Ni@TiO 2:W photocatalytic composite for the complete removal of diclofenac drug from the drinking water,"Rodriguez-Gonzalez, Vicente",WOS:000829121800006,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Photocatalysis
75,Graphitized Cu-beta-cyclodextrin polymer driving an efficient dual-reaction-center Fenton-like process by utilizing electrons of pollutants for water purification,"Li, Tong",WOS:000829121800005,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Pollutants degradation
76,Preparation and characterization of a novel blue-TiO2/PbO2-carbon nanotube electrode and its application for degradation of phenol,"Wang, Xiaohui",WOS:000829121800007,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Phenol
77,Comparison of UV and UV-LED activated sodium percarbonate for the degradation of O-desmethylvenlafaxine,"Chen, Weizhu",WOS:000829121800013,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Electrical energy per order
78,"Insights into multisource sludge distributed in the Yangtze River basin, China: Characteristics, correlation, treatment and disposal","Guo, Yali",WOS:000829111400012,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Persistent organic pollutants
79,Removal of pharmaceutical in a biogenic/chemical manganese oxide system driven by manganese-oxidizing bacteria with humic acids as sole carbon source,"Qu, Jiuhui",WOS:000829110500006,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Caffeine
80,Urban development and resource endowments shape natural resource utilization efficiency in Chinese cities,"Ouyang, Zhiyun",WOS:000829110500013,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Sustainable city
81,"Progressively narrow the gap of PM 2.5 pollution characteristics at urban and suburban sites in a megacity of Sichuan Basin, China","Yang, Fumo",WOS:000829110500004,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,PM (2 5)
82,Disinfection byproducts in indoor swimming pool water: Detection and human lifetime health risk assessment,"Chu, Wenhai",WOS:000829110800003,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Multiple exposure pathway
83,Remediation of Cu and As contaminated water and soil utilizing biochar supported layered double hydroxide: Mechanisms and soil environment altering,"Dang, Zhi",WOS:000829111400009,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Biochar supported layered double
84,Human impact on current environmental state in Chinese lakes,"Jeppessen, Erik",WOS:000829111400001,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Environmental management
85,High capacity adsorption of antimony in biomass-based composite and its consequential utilization as battery anode,"Sun, Hong-bin",WOS:000829111400004,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Li -ion battery
86,Fe-N co-doped coral-like hollow carbon shell toward boosting peroxymonosulfate activation for efficient degradation of tetracycline: Singlet oxygen-dominated non-radical pathway,"Ai, Yushi",WOS:000829110800011,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Singlet oxygen
87,Exploration of the metabolic flexibility of glycogen accumulating organisms through metatranscriptome analysis and metabolic characterization,"Wang, Jingfeng",WOS:000829111400006,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Glyoxylate pathway
88,Retrieval of refractive index of ultrafine single particle using hygroscopic growth factor obtained by high sensitive surface plasmon resonance microscopy,"Gui, Huaqiao",WOS:000829110800012,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,High-sensitivity
89,Comparison of UV-based advanced oxidation processes for the removal of different fractions of NOM from drinking water,"Sun, Shaohua",WOS:000829110800004,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Parallel factor analysis
90,Enhanced adsorption and color imetr ic detection of tetracycline antibiotics by using functional phosphate/carbonate composite with nanoporous network coverage,"Sansuk, Sira",WOS:000829110800002,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Surface complexation
91,Nano-sized alumina supported palladium catalysts for methane combustion with excellent thermal stability,"He, Hong",WOS:000829111400013,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Physical barriers
92,Decomposition of Al-13 promoted by salicylic acid under acidic condition: Mechanism study by differential mass spectrometry method and DFT calculation,"Wang, Dongsheng",WOS:000829110800007,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Decomposition
93,An ultra-sensitive photothermal lateral flow immunoassay for 17?-estradiol in food samples,"Peng, Chifang",WOS:000877787400006,Article,FOOD CHEMISTRY,Black phosphorus
94,"Oleogel-structured emulsions: A review of formation, physicochemical properties and applications","Zhang, Guowen",WOS:000877787400003,Review,FOOD CHEMISTRY,Digestion
95,Effects of different deodorization methods on the oxidation of sterol components in rice bran oil,"Liu, Tianyi",WOS:000877787400010,Article,FOOD CHEMISTRY,Rice bran oil
96,Construction of hemp seed protein isolate-phosphatidylcholine stablized oleogel-in-water gel system and its effect on structural properties and oxidation stability,"Wang, Liqi",WOS:000877787400011,Article,FOOD CHEMISTRY,Oxidation stability
97,Characterization and shelf stability of sweetened condensed milk formulated with different sucrose substitutes during storage,"Xiao, Gongnian",WOS:000877787400002,Article,FOOD CHEMISTRY,Microbiological properties
98,Understanding the influence of fluctuated low-temperature combined with high-humidity thawing on gelling properties of pork myofibrillar proteins,"Ma, Hanjun",WOS:000877787400013,Article,FOOD CHEMISTRY,Microstructure
99,Acidic electrolyzed water treatment suppresses Phomopsis longanae Chi-induced the decreased storability and quality properties of fresh longans through modulating energy metabolism,"Lin, Hetong",WOS:000877588700003,Article,FOOD CHEMISTRY,Phomopsis longanae Chi
100,GCSB-5 regulates inflammatory arthritis and pain by modulating the mitogen-activated protein kinase signaling pathway in a murine model of rheumatoid arthritis,"Kim, Ji -Min",WOS:000868338300001,Article,ARCHIVES OF RHEUMATOLOGY,TRPV1
101,X-RAY MICROTOMOGRAPHY TO CHARACTERIZE THE ROOT CANAL VOLUME EXTRACTED IN ENDODONTIC INSTRUMENTATION,"Valente, M.",WOS:000874695800001,Article,ANALES AFA,volume segmentation
102,An Approach to Increase the Efficiency of Uricase by Computational Mutagenesis,"Meena, K. S.",WOS:000843670200003,Article,PHYSICAL CHEMISTRY RESEARCH,Uricase
103,Study on the Osteogenic Differentiation of hUCMSCs in Silk Fibroin/Polycaprolactone Membrane Under the Intervention of Photobiomodulation,"Liu, Yi",WOS:000852839200001,Article,IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS,PCL)
104,Removing Non-Biodegradable Toxic Ions via Bio- Oxidation Analysis in Anzali Lagoon: A Usage of Seaweed in Biodiversity,"Kucuk, Omer",WOS:000847220500006,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,toxic oxide ions
105,Abuse of Anabolic-Androgenic Steroids and Adverse Effects on Human Organ Health: A Review,"Syafawi, Atika",WOS:000847220500005,Review,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,organs
106,Effects of Valproic Acid with Different Drugs in Ovarian Cancer Cell Lines: An in vitro Study,"Subramanian, Balanchru",WOS:000838722800039,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,ovarian cancer
107,Ginger Compress Therapy - A Painless Solution for Kidney Failure Patients,"Sundar, Krishnan",WOS:000838722800020,Review,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,Zingiber officinale
108,"Synthesis and Theoretical Interaction of 3-(2-oxabicyclo [7.4.0]trideca-1(13),9,11-trien-7-yn-12-yloxy)-steroid Deriva-tive with 17 beta-hydroxysteroid Dehydrogenase Enzyme Surface","Lopez Gutierrez, Tomas",WOS:000838722800026,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,steroid
109,"LP-SBA-15/Ketorolac Nanocomposite: Development, Characterization, and Mathematical Modeling of Controlled Keto Release","Anunziata, Oscar A.",WOS:000838722800003,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,nanoscale medicine
110,Enhanced Induction of MDA-MB-231 Cell Death using the Combination of Galloflavin and Electroporation,"Sundararajan, Raji",WOS:000838722800023,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,MDA-MB-231 cells
111,Xanthium strumarium L. Extract Loaded Phyto-Niosome Gel: Development and In Vitro Assessment for the Treatment of Tinea corporis,"Bhuyan, Biman",WOS:000838722800033,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,Trichophyton rubrum
112,fPhysico-Chemical Properties of TiO2 Coatings Derived From Acid Catalyst-Free Precursor via Spin Coating,"Candidato Jr, Rolando",WOS:000838722800005,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,baseline approach
113,Quantitative Proteomic Assessment of Key Proteins Regulated by Electrical Pulse-mediated Galloflavin Delivery in Triple-Negative Breast Cancer Cells,"Sundararajan, Raji",WOS:000847220500017,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,MDA-MB-231
114,Eradication of Microplastics in Wastewater Treatment: Overview,"Sankhla, Mahipal Singh",WOS:000838141700011,Review,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,Bioremediation
115,Nanoparticles-based Chemo- Phototherapy Synergistic Effects for Breast Cancer Treatment: A Systematic Review,"Jemon, Khairunadwa",WOS:000838141700036,Review,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,breast cancer
116,PD 1: A Trending Target in Anti-cancer Research,"Das Paul, Swarnali",WOS:000838141700038,Review,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,PD-1
117,Different Methods for Preparation of Hydroxyapatite Nanostructures,"El-Kemary, Maged",WOS:000838141700014,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,Microwave
118,Effective Bacterial Factors Involved in the Dissemination of Tuberculosis,"Asgharzadeh, Mohammad",WOS:000838141700006,Review,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,transmission
119,Protective Role of Combined Crataegus Aronia Ethanol Extract and Phytosomes Against Hyperglycemia and Hyperlipidemia in Streptozotocin-Induced Diabetic Rat,"Qaralleh, Haitham",WOS:000838141700017,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,lipid profile
120,Physicochemical and Antioxidant Properties of Germinated Soybean Tempe after Two Days Additional Fermentation Time,"Wresdiyati, Tutik",WOS:000838141700023,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,texture analyzer
121,"A Coelomic Fluid of Allolobophora caliginosa as Novel Prospects for Medicinal Antioxidants, Anti-inflammatory, Antiproliferative, Analgesics, and Antipyretics","Soliman, Amel M.",WOS:000838141700040,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,analgesic
122,Designing of Novel Quinolines Derivatives as Hepatocellular Carcinoma Inhibitors by Using In silico Approaches,"Bouachrine, Mohammed",WOS:000838141700019,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,molecular dynamics simulation (MD)
123,Biochemical Changes During Solid State Fermentation of Wheat Crop Residues by Aspergillus flavus Link and Aspergillus niger van Tieghem,"Upadhyay, Sushil Kumar",WOS:000838141700029,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,sustainable Agri-Farming
124,Flocculation of Clay Suspensions Using Copolymers Based on Acrylamide and Biopolymer,"Tennouga, L.",WOS:000842969000002,Article,PHYSICAL CHEMISTRY RESEARCH,Kaolin
125,"Prediction of Novel TRPV1 Antagonist: A Combination of 3D-QSAR, Molecular Docking, MD Simulations and ADMET Prediction","Ouammou, A.",WOS:000842969000012,Article,PHYSICAL CHEMISTRY RESEARCH,Indole triazole
126,Impact of three different processing methods on the digestibility and allergenicity of Chinese mitten crab (Eriocheir sinensis) tropomyosin,"Lu, Jianfeng",WOS:000876717100001,Article,FOOD SCIENCE AND HUMAN WELLNESS,Immunoreactivity
127,Fabrication porous adsorbents templated from aqueous foams using astragalus membranaceus and attapulgite as stabilizer for efficient removal of cationic dyes,"Wang, Aiqin",WOS:000862522200001,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Biochar
128,Ultra-homogeneous Cu2_xSe nanoparticles as near-infrared II plasmonic phototheranstics for photothermal/chemodynamic synergistic therapy of liver cancer,"You, Zhen",WOS:000860706200003,Article,PARTICUOLOGY,Cu2-XSe
129,Spatial distribution of bacterial resistance towards antibiotics of rural sanitation system in China and its potential link with diseases incidence,"Xu, Yan",WOS:000835729900015,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Rural area
